angDist,_RAJ2000,_DEJ2000,recno,A,Name,RAJ2000,DEJ2000,amaj,ell,[3.6],[4.5],c31,M3.6,M4.5,logM*,Dmean,TT,Vr,S4G,Simbad,NED,LEDA,_RAJ2000,_DEJ2000,recno,Name,f_Name,RAJ2000,DEJ2000,vlsr,PA,i,Dist,r_Dist,logMstar,f_logMstar,r25,Re,lstar,logSFR,f_logSFR,l_logLCO,logLCO,Corr,logMHI,Res1,Res2,S4G,L19,Ntot,N7m,N12m,Simbad,LEDA
0.564888,204.25357,-29.86554,1306,,NGC5236,204.25357,-29.86554,569.0,0.065,6.937,7.364,3.299,-22.276,-21.849,11.037,6.96,5.0,508.0,S4G,Simbad,NED,LEDA,204.25375,-29.865556,78,NGC5236,,13 37 00.9,-29 51 56,509.4,225.0,24.0,4.89,"    6",10.53,I,9.7,3.5,2.4,0.62,FUVW4,,8.84,1.14,9.98,2.14,50.7,1,1,0,57,16,Simbad,LEDA
0.331036,204.38336,8.88519,1310,,NGC5248,204.38336,8.88519,210.7,0.251,9.708,10.102,4.829,-21.429,-21.035,10.673,16.883,4.0,1153.3,S4G,Simbad,NED,LEDA,204.383333,8.885278,79,NGC5248,,13 37 32.0,+08 53 07,1163.0,109.2,47.4,14.87,"    7",10.41,I,8.8,3.2,2.0,0.36,FUVW4,,8.77,1.14,9.5,1.29,93.1,1,1,13,8,2,Simbad,LEDA
1.212423,356.08812,9.93416,1365,,NGC7743,356.08812,9.93416,117.8,0.274,11.013,11.526,5.528,-20.643,-20.129,10.447,21.433,-0.9,1710.0,S4G,Simbad,NED,LEDA,356.087917,9.933889,89,NGC7743,X,23 44 21.1,+09 56 02,1687.3,86.2,37.1,20.32," 2,13",10.36,I,7.7,2.9,1.9,-0.67,FUVW4,,7.5,2.65,8.5,0.64,63.2,0,1,5,5,2,Simbad,LEDA
0.891906,359.45721,-32.59107,1370,,NGC7793,359.45721,-32.59107,326.8,0.364,9.246,9.691,2.593,-18.855,-18.411,9.681,4.171,7.4,228.2,S4G,Simbad,NED,LEDA,359.4575,-32.591111,90,NGC7793,X,23 57 49.8,-32 35 28,222.1,290.0,50.0,3.62,"    6",9.36,I,5.5,1.9,1.1,-0.57,FUVW4,,7.23,1.34,8.7,7.99,140.2,1,1,5,2,4,Simbad,LEDA
0.359689,170.01589,18.35686,1380,,NGC3626,170.01589,18.35686,109.6,0.298,10.762,11.238,7.668,-21.061,-20.585,10.586,23.15,-0.9,1475.5,S4G,Simbad,NED,LEDA,170.015833,18.356944,43,NGC3626,,11 20 03.8,+18 21 25,1470.7,165.2,46.6,20.05," 2,13",10.46,I,8.6,1.8,2.1,-0.68,NUVW4,,7.75,1.14,8.89,1.17,114.1,1,1,3,2,1,Simbad,LEDA
0.413225,170.06253,12.9915,1381,,NGC3627,170.06253,12.9915,375.8,0.398,8.302,8.733,3.691,-21.7,-21.27,10.809,10.011,3.1,719.7,S4G,Simbad,NED,LEDA,170.0625,12.991389,44,NGC3627,,11 20 15.0,+12 59 29,715.4,173.1,57.3,11.32,"    6",10.84,I,16.9,3.6,3.7,0.59,FUVW4,,8.98,1.16,9.09,1.63,89.2,1,1,12,3,2,Simbad,LEDA
1.055304,184.70683,14.41642,1804,,NGC4254,184.70683,14.41642,191.8,0.194,9.333,9.724,3.495,-21.608,-21.217,10.743,15.425,5.2,2405.5,S4G,Simbad,NED,LEDA,184.706667,14.416667,46,NGC4254,,12 18 49.6,+14 25 00,2388.2,68.1,34.4,13.1,"   14",10.42,I,9.6,2.4,1.8,0.49,FUVW4,,8.93,1.15,9.48,1.78,113.1,0,1,16,4,2,Simbad,LEDA
2.247540,11.7853,-20.76018,1929,,NGC0247,11.7853,-20.76018,737.7,0.716,9.135,9.477,2.692,-18.639,-18.296,9.519,3.587,6.9,156.8,S4G,Simbad,NED,LEDA,11.785833,-20.760556,1,NGC0247,X,00 47 08.6,-20 45 38,148.8,167.4,76.4,3.71,"    6",9.53,I,10.6,5.0,3.3,-0.75,FUVW4,,6.79,1.42,9.24,8.51,153.1,0,1,15,8,0,Simbad,LEDA
1.020681,11.88822,-25.28826,1930,,NGC0253,11.88822,-25.28826,,,,,,,,,3.141,5.1,247.3,S4G,Simbad,NED,LEDA,11.887917,-25.288333,2,NGC0253,X,00 47 33.1,-25 17 18,235.4,52.5,75.0,3.7,"    6",10.64,I,14.4,4.7,2.8,0.7,FUVW4,,8.96,1.0,9.33,8.37,150.2,0,1,9,5,0,Simbad,LEDA
1.125516,13.72267,-37.6842,1937,,NGC0300,13.72267,-37.6842,645.0,0.295,8.408,8.801,2.78,-18.066,-17.674,9.327,1.972,6.9,144.8,S4G,Simbad,NED,LEDA,13.722917,-37.684444,3,NGC0300,X,00 54 53.5,-37 41 04,155.5,114.3,39.8,2.09,"    6",9.27,I,5.9,2.0,1.3,-0.82,FUVW4,,6.61,1.5,9.32,8.18,82.8,0,1,4,4,0,Simbad,LEDA
1.089570,187.91373,3.93942,1957,,NGC4496A,187.91373,3.93942,114.4,0.13,11.774,12.25,2.75,-19.192,-18.716,9.839,15.606,7.6,1730.2,S4G,Simbad,NED,LEDA,187.91375,3.939722,56,NGC4496A,,12 31 39.3,+03 56 23,1721.8,51.1,53.8,14.86,"   11",9.55,I,7.3,3.0,1.9,-0.21,FUVW4,,7.55,1.15,9.24,1.25,90.3,0,1,6,3,1,Simbad,LEDA
0.462038,189.20758,13.16288,1988,,NGC4569,189.20758,13.16288,318.7,0.568,9.267,9.742,4.091,-21.192,-20.717,10.638,12.352,2.4,-220.6,S4G,Simbad,NED,LEDA,189.2075,13.162778,61,NGC4569,,12 36 49.8,+13 09 46,-225.6,18.0,70.0,15.76,"    7",10.81,I,20.9,5.9,4.3,0.12,FUVW4,,8.81,1.4,8.84,1.69,128.9,1,1,7,5,2,Simbad,LEDA
